headers;"Код заказа";"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";"Материал уплотнений";price;stock
TZS-PM04P;R1/2;Штекер;-0,9…1,0;"Сжатый воздух";-20…+70;"Никелированная латунь";NBR;264.08;"11 шт"
headers;"Код заказа";"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";price;stock
TTY-YLM5;M5;M5;-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";41.94;"178 шт"
headers;"Код заказа";"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";Форма;price;stock
TTY-PEF3-02G;"G1/4 внутренняя";"G1/4 внутренняя";-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Т-образный;398.71;"16 шт"
TTY-YB03G-03P;"G3/8 внутренняя";R3/8;-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Прямой;161.17;"103 шт"
TTY-YD02-01G;"G1/4 внутренняя";"G1/8 внутренняя";-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Прямой;123.88;"105 шт"
TTY-PV04-04P;R1/2;R1/2;-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Угловой;418.13;"166 шт"
TTY-YJ06P-04G;R3/4;"G1/2 внутренняя";-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Прямой;220.07;"356 шт"
TTY-YJ04P-02G;R1/2;"G1/4 внутренняя";-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Прямой;118.97;"194 шт"
TTY-PVF2-02G;"G1/4 внутренняя";"G1/4 внутренняя";-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Угловой;267.96;"140 шт"
TTY-PV01-01P;R1/8;R1/8;-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Угловой;135.28;"175 шт"
headers;"Код заказа";"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";price;stock
TTY-GDTM5;M5;-;-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";34.69;"39 шт"
headers;"Код заказа";"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";Форма;price;stock
TTY-PDF02G-02P;"G1/4 внутренняя";R1/4;-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Т-образный;398.71;"92 шт"
TTY-PEF3-04G;"G1/2 внутренняя";"G1/2 внутренняя";-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Т-образный;873.15;"124 шт"
TTY-PVF2-03G;"G3/8 внутренняя";"G3/8 внутренняя";-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Угловой;405.18;"70 шт"
TTY-YD01-01G;"G1/8 внутренняя";"G1/8 внутренняя";-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Прямой;62.27;"5 шт"
TTY-YJ01P-M5;R1/8;"M5 внутренняя";-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Прямой;40.65;"175 шт"
TTY-YJ1P-04G;R1;"G1/2 внутренняя";-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Прямой;475.73;"254 шт"
TTY-PVF2-04G;"G1/2 внутренняя";"G1/2 внутренняя";-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Угловой;585.12;"187 шт"
TTY-YG04-02P;R1/2;R1/4;-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Прямой;146.93;"10 шт"
TTY-YG03-02P;R3/8;R1/4;-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Прямой;123.50;"125 шт"
TTY-YG04-03P;R1/2;R3/8;-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Прямой;146.93;"84 шт"
headers;"Код заказа";"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";price;stock
EJSM-V08;"Штуцер с накидной гайкой 8 мм";"Штуцер с накидной гайкой 8 мм";-0,9…1,0;"Сжатый воздух";-20…+70;"Никелированная латунь";972.18;"0 шт"
EJSM-V12;"Штуцер с накидной гайкой 12 мм";"Штуцер с накидной гайкой 12 мм";-0,9…1,0;"Сжатый воздух";-20…+70;"Никелированная латунь";1751.47;"38 шт"
EJSM-T12-A;"Штуцер с накидной гайкой 12 мм";"Штуцер с накидной гайкой 12 мм";-0,9…1,0;"Сжатый воздух";-20…+70;"Никелированная латунь";709.39;"111 шт"
EJSM-C12-04P-A;"Штуцер с накидной гайкой 12 мм";R1/2;-0,9…1,0;"Сжатый воздух";-20…+70;"Никелированная латунь";317.15;"190 шт"
EJSM-C12-03P-A;"Штуцер с накидной гайкой 12 мм";R3/8;-0,9…1,0;"Сжатый воздух";-20…+70;"Никелированная латунь";233.66;"215 шт"
EJSM-C06-01P-A;"Штуцер с накидной гайкой 6 мм";R1/8;-0,9…1,0;"Сжатый воздух";-20…+70;"Никелированная латунь";93.72;"558 шт"
headers;"Код заказа";"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";"Материал уплотнений";price;stock
EML12-03G-A;"Цанговый штуцер 12 мм";G3/8;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;517.16;"365 шт"
EML08-04G-A;"Цанговый штуцер 8 мм";G1/2;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;379.94;"665 шт"
EML08-01G-A;"Цанговый штуцер 8 мм";G1/8;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;300.97;"945 шт"
EML06-02G-A;"Цанговый штуцер 6 мм";G1/4;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;240.78;"833 шт"
EMM08-A;"Цанговый штуцер 8 мм";"Цанговый штуцер 8 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;381.23;"140 шт"
EML04-M5-A;"Цанговый штуцер 4 мм";М5;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;201.30;"83 шт"
EMC10-02G-A;"Цанговый штуцер 10 мм";G1/4;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;270.55;"454 шт"
EMC08-02G-A;"Цанговый штуцер 8 мм";G1/4;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;167.64;"699 шт"
EMB06-01G-A;"Цанговый штуцер 6 мм";G1/8;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;376.70;"93 шт"
EMC12-04G-A;"Цанговый штуцер 12 мм";G1/2;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;415.54;"129 шт"
EMC12-03G-A;"Цанговый штуцер 12 мм";G3/8;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;372.82;"394 шт"
EMC10-04G-A;"Цанговый штуцер 10 мм";G1/2;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;306.15;"145 шт"
EMC10-03G-A;"Цанговый штуцер 10 мм";G3/8;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;270.55;"34 шт"
EMC10-01G-A;"Цанговый штуцер 10 мм";G1/8;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;270.55;"144 шт"
EMC08-04G-A;"Цанговый штуцер 8 мм";G1/2;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;249.19;"120 шт"
EMC08-03G-A;"Цанговый штуцер 8 мм";G3/8;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;185.11;"295 шт"
EMC08-01G-A;"Цанговый штуцер 8 мм";G1/8;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;167.64;"336 шт"
EMC06-04G-A;"Цанговый штуцер 6 мм";G1,2;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;249.19;"180 шт"
EMC06-03G-A;"Цанговый штуцер 6 мм";G3/8;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;185.11;"331 шт"
EMC06-02G-A;"Цанговый штуцер 6 мм";G1/4;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;155.99;"531 шт"
EMC04-01G-A;"Цанговый штуцер 4 мм";G1/8;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;132.69;"316 шт"
EMC04-M5-A;"Цанговый штуцер 4 мм";М5;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;111.85;"122 шт"
EMP08-02G-A;"Цанговый штуцер 8 мм";G1/4;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;405.83;"163 шт"
EMW08-02G-A;"Цанговый штуцер 8 мм";G1/4;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;474.44;"198 шт"
EMW08-01G-A;"Цанговый штуцер 8 мм";G1/8;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;467.97;"200 шт"
EMW06-01G-A;"Цанговый штуцер 6 мм";G1/8;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;376.70;"191 шт"
EMH08-02G-A;"Цанговый штуцер 8 мм";G1/4;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;466.67;"103 шт"
EMH08-01G-A;"Цанговый штуцер 8 мм";G1/8;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;466.67;"82 шт"
EMH06-01G-A;"Цанговый штуцер 6 мм";G1/8;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;319.10;"131 шт"
EMH04-01G-A;"Цанговый штуцер 4 мм";G1/8;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;319.10;"190 шт"
EMH04-M5-A;"Цанговый штуцер 4 мм";М5;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;184.47;"160 шт"
EMB12-03G-A;"Цанговый штуцер 12 мм";G3/8;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;837.55;"162 шт"
EMB12-02G-A;"Цанговый штуцер 12 мм";G1/4;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;837.55;"283 шт"
EMB10-02G-A;"Цанговый штуцер 10 мм";G1/4;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;646.61;"156 шт"
EMB08-01G-A;"Цанговый штуцер 8 мм";G1/8;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;467.97;"142 шт"
EMZA12-A;"Цанговый штуцер 12 мм";"Цанговый штуцер 12 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;1104.86;"190 шт"
EMZA10-A;"Цанговый штуцер 10 мм";"Цанговый штуцер 10 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;975.41;"128 шт"
EMZA08-A;"Цанговый штуцер 8 мм";"Цанговый штуцер 8 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;644.02;"17 шт"
EMZA06-A;"Цанговый штуцер 6 мм";"Цанговый штуцер 6 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;548.87;"35 шт"
EMZA04-A;"Цанговый штуцер 4 мм";"Цанговый штуцер 4 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;401.95;"157 шт"
EMM12-A;"Цанговый штуцер 12 мм";"Цанговый штуцер 12 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;694.50;"201 шт"
EMM10-A;"Цанговый штуцер 10 мм";"Цанговый штуцер 10 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;541.11;"29 шт"
EMM06-A;"Цанговый штуцер 6 мм";"Цанговый штуцер 6 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;311.33;"38 шт"
EMM04-A;"Цанговый штуцер 4 мм";"Цанговый штуцер 4 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;264.73;"102 шт"
EMU12-A;"Цанговый штуцер 12 мм";"Цанговый штуцер 12 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;354.05;"158 шт"
EMU10-A;"Цанговый штуцер 10 мм";"Цанговый штуцер 10 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;284.14;"310 шт"
EMU08-A;"Цанговый штуцер 8 мм";"Цанговый штуцер 8 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;209.71;"403 шт"
EMU06-A;"Цанговый штуцер 6 мм";"Цанговый штуцер 6 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;183.17;"509 шт"
EMY12-A;"Цанговый штуцер 12 мм";"Цанговый штуцер 12 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;783.83;"123 шт"
EMY10-A;"Цанговый штуцер 10 мм";"Цанговый штуцер 10 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;627.84;"234 шт"
EMY08-A;"Цанговый штуцер 8 мм";"Цанговый штуцер 8 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;477.67;"353 шт"
EMY06-A;"Цанговый штуцер 6 мм";"Цанговый штуцер 6 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;385.76;"323 шт"
EMY04-A;"Цанговый штуцер 4 мм";"Цанговый штуцер 4 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;293.21;"180 шт"
EMV12-A;"Цанговый штуцер 12 мм";"Цанговый штуцер 12 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;682.85;"34 шт"
EMV10-A;"Цанговый штуцер 10 мм";"Цанговый штуцер 10 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;492.56;"244 шт"
EMV06-A;"Цанговый штуцер 6 мм";"Цанговый штуцер 6 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;238.19;"417 шт"
EMV04-A;"Цанговый штуцер 4 мм";"Цанговый штуцер 4 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;194.82;"98 шт"
EME12-A;"Цанговый штуцер 12 мм";"Цанговый штуцер 12 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;704.86;"175 шт"
EME10-A;"Цанговый штуцер 10 мм";"Цанговый штуцер 10 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;563.76;"235 шт"
EME08-A;"Цанговый штуцер 8 мм";"Цанговый штуцер 8 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;415.54;"344 шт"
EME06-A;"Цанговый штуцер 6 мм";"Цанговый штуцер 6 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;346.93;"694 шт"
EMCF10-02G-A;"Цанговый штуцер 10 мм";"G1/4 внутренняя";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;241.43;"125 шт"
EMLL08-01G-A;"Цанговый штуцер 8 мм";G1/8;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;453.08;"124 шт"
EML12-04G-A;"Цанговый штуцер 12 мм";G1/2;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;548.87;"126 шт"
EML10-04G-A;"Цанговый штуцер 10 мм";G1/2;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;430.42;"430 шт"
EML10-03G-A;"Цанговый штуцер 10 мм";G3/8;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;399.36;"282 шт"
EML10-01G-A;"Цанговый штуцер 10 мм";G1/8;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;371.52;"213 шт"
EML08-03G-A;"Цанговый штуцер 8 мм";G3/8;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;322.33;"334 шт"
EML06-04G-A;"Цанговый штуцер 6 мм";G1/2;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;330.75;"278 шт"
