headers;"Код заказа";"Функция распределителя";"Тип управления";"Тип возврата";"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Пневматическое присоединение, канал 4";"Пневматическое присоединение, канал 3";"Пневматическое присоединение, канал 5";"Стандартный номинальный расход, л/мин";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";"Материал уплотнений";"Цвет кнопки";price;stock
M32-08S4G;"3/2 Н.З. Моностабильный";Кнопка;"Механическая пружина";G1/4;G1/4;G1/4;G1/4;G1/4;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Зелёная;1273.15;"0 шт"
M32-08S3R;"3/2 Н.З. Моностабильный";"Кнопка грибовидная с фиксацией";"Механическая пружина";G1/4;G1/4;G1/4;G1/4;G1/4;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Красная;1273.15;"0 шт"
M52-08;"5/2 Н.З. Моностабильный";Толкатель;"Механическая пружина";G1/4;G1/4;G1/4;G1/8;G1/8;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;-;1324.28;"0 шт"
M52-08S6R;"5/2 Н.З. Моностабильный";"Кнопка грибовидная";"Механическая пружина";G1/4;G1/4;G1/4;G1/8;G1/8;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Красная;1425.26;"0 шт"
M52-08S5R;"5/2 Н.З. Моностабильный";Кнопка;"Механическая пружина";G1/4;G1/4;G1/4;G1/8;G1/8;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Красная;1425.26;"0 шт"
M52-08S4G;"5/2 Н.З. Моностабильный";Кнопка;"Механическая пружина";G1/4;G1/4;G1/4;G1/8;G1/8;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Зелёная;1425.26;"0 шт"
M52-08S3R;"5/2 Н.З. Моностабильный";"Кнопка грибовидная с фиксацией";"Механическая пружина";G1/4;G1/4;G1/4;G1/8;G1/8;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Красная;1425.26;"0 шт"
MV32-06S4G;"3/2 Н.З. Моностабильный";Кнопка;"Механическая пружина";G1/8;G1/8;-;"2х M3";-;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Зелёная;915.87;"0 шт"
L323-08;"3/2 Бистабильный";Кнопка;-;G1/4;G1/4;-;G1/4;-;"1 370";"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;1764.42;"0 шт"
L322-06S;"3/2 Н.З. Моностабильный";Кнопка;"Механическая пружина";G1/8;G1/8;-;G1/8;-;750;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;1565.06;"0 шт"
