headers;"Код заказа";Присоединение;Конструкция;Функция;"Условный проход, мм";"Размер привода, мм";"Расход Kv, м3/час";"Присоединение канала управления";"Рабочая среда";"Температура рабочей среды, °С";"Рабочее давление, МПа";"Максимальная вязкость среды, сСт";"Управляющая среда";"Температура окружающей среды, °С";"Управляющее давление, МПа";"Материал корпуса клапана";"Материал уплотнения клапана";"Материал привода";"Уплотнения привода";price;stock
EMCP-50-80HS1;G2;"Седельный клапан";"Нормально открытый";50;80;52.8;G1/4;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар";"-10 … +180";"0 … 1.6";600;"Сжатый воздух";"-10 … +60";"0.3 … 0.8";"Нержавеющая сталь 316";PTFE;Полимер;NBR;24783.39;"0 шт"
EMCP-50-80DS2;G2;"Седельный клапан";"Двустороннего действия";50;80;52.8;G1/4;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар";"-10 … +180";"0 … 1.6";600;"Сжатый воздух";"-10 … +60";"0.3 … 0.8";"Нержавеющая сталь 304";PTFE;Полимер;NBR;23728.37;"0 шт"
EMCP-50-80DS1;G2;"Седельный клапан";"Двустороннего действия";50;80;52.8;G1/4;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар";"-10 … +180";"0 … 1.6";600;"Сжатый воздух";"-10 … +60";"0.3 … 0.8";"Нержавеющая сталь 316";PTFE;Полимер;NBR;24783.39;"0 шт"
EMCP-40-80S2;"G1 1/2";"Седельный клапан";"Нормально закрытый";40;80;32.9;G1/4;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар";"-10 … +180";"0 … 1.6";600;"Сжатый воздух";"-10 … +60";"0.3 … 0.8";"Нержавеющая сталь 304";PTFE;Полимер;NBR;13204;"0 шт"
EMCP-40-80S1;"G1 1/2";"Седельный клапан";"Нормально закрытый";40;80;32.9;G1/4;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар";"-10 … +180";"0 … 1.6";600;"Сжатый воздух";"-10 … +60";"0.3 … 0.8";"Нержавеющая сталь 316";PTFE;Полимер;NBR;13948.35;"0 шт"
EMCP-40-80HS2;"G1 1/2";"Седельный клапан";"Нормально открытый";40;80;32.9;G1/4;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар";"-10 … +180";"0 … 1.6";600;"Сжатый воздух";"-10 … +60";"0.3 … 0.8";"Нержавеющая сталь 304";PTFE;Полимер;NBR;18563.27;"0 шт"
EMCP-40-80HS1;"G1 1/2";"Седельный клапан";"Нормально открытый";40;80;32.9;G1/4;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар";"-10 … +180";"0 … 1.6";600;"Сжатый воздух";"-10 … +60";"0.3 … 0.8";"Нержавеющая сталь 316";PTFE;Полимер;NBR;19611.83;"0 шт"
EMCP-40-80DS2;"G1 1/2";"Седельный клапан";"Двустороннего действия";40;80;32.9;G1/4;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар";"-10 … +180";"0 … 1.6";600;"Сжатый воздух";"-10 … +60";"0.3 … 0.8";"Нержавеющая сталь 304";PTFE;Полимер;NBR;18563.27;"0 шт"
EMCP-50-80S2;G2;"Седельный клапан";"Нормально закрытый";50;80;52.8;G1/4;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар";"-10 … +180";"0 … 1.6";600;"Сжатый воздух";"-10 … +60";"0.3 … 0.8";"Нержавеющая сталь 304";PTFE;Полимер;NBR;16873.94;"0 шт"
EMCP-15-50S2;G1/2;"Седельный клапан";"Нормально закрытый";15;50;4.7;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар";"-10 … +180";"0 … 1.6";600;"Сжатый воздух";"-10 … +60";"0.3 … 0.8";"Нержавеющая сталь 304";PTFE;Полимер;NBR;6186.46;"0 шт"
