headers;"Код заказа";"Материал уплотнения";"Тип корпуса";"Условный проход, мм";"Рабочее давление, бар";"Условное давление, бар";"Материал корпуса";"Материал диска";"Тип управления";price;stock
VZACS-C-80-16-PN16-H1-V9P-P-HL;PTFE;Межфланцевый;80;16;16;"Чугун GGG25";"Нержавеющая сталь CF8M";Рукоятка;40660.56;"0 шт"
VZACS-C-100-16-PN16-H1-V9-E4-PB;"EPDM–HT (до 130°C)";Межфланцевый;100;16;16;"Чугун GGG25";"Нержавеющая сталь CF8M";"Голый вал";94978.20;"0 шт"
VZACC-C-200-10-PN16-H2-V3-N-GB;NBR;Межфланцевый;200;10;16;"Чугун GG25";"Нержавеющая сталь CF8";Редуктор;29644.28;"0 шт"
VZACS-C-150-10-PN16-H1-V9-E;EPDM;Межфланцевый;150;10;16;"Чугун GGG25";"Нержавеющая сталь CF8M";"Голый вал";22207.32;"0 шт"
VZACS-C-100-10-PN16-H1-V9-E;EPDM;Межфланцевый;100;10;16;"Чугун GGG25";"Нержавеющая сталь CF8M";"Голый вал";12639.60;"0 шт"
VZACS-C-80-10-PN16-H1-V9-E;EPDM;Межфланцевый;80;10;16;"Чугун GGG25";"Нержавеющая сталь CF8M";"Голый вал";8445.38;"0 шт"
VZACS-C-65-10-PN16-H1-V9-E;EPDM;Межфланцевый;65;10;16;"Чугун GGG25";"Нержавеющая сталь CF8M";"Голый вал";6990.35;"0 шт"
VZACS-C-50-10-PN16-H1-V9-E;EPDM;Межфланцевый;50;10;16;"Чугун GGG25";"Нержавеющая сталь CF8M";"Голый вал";5928.86;"0 шт"
VZACS-C-40-10-PN16-H1-V9-E;EPDM;Межфланцевый;40;10;16;"Чугун GGG25";"Нержавеющая сталь CF8M";"Голый вал";7047.31;"0 шт"
VZACS-C-150-16-PN16-H1-V9-E-HL;EPDM;Межфланцевый;150;16;16;"Чугун GGG25";"Нержавеющая сталь CF8M";Рукоятка;23437.10;"0 шт"
VZACS-C-100-16-PN16-H1-V9-E-HL;EPDM;Межфланцевый;100;16;16;"Чугун GGG25";"Нержавеющая сталь CF8M";Рукоятка;13870.67;"0 шт"
VZACS-C-80-16-PN16-H1-V9-E-HL;EPDM;Межфланцевый;80;16;16;"Чугун GGG25";"Нержавеющая сталь CF8M";Рукоятка;9563.84;"0 шт"
VZACS-C-65-16-PN16-H1-V9-E-HL;EPDM;Межфланцевый;65;16;16;"Чугун GGG25";"Нержавеющая сталь CF8M";Рукоятка;8165.77;"0 шт"
VZACS-C-50-16-PN16-H1-V9-E-HL;EPDM;Межфланцевый;50;16;16;"Чугун GGG25";"Нержавеющая сталь CF8M";Рукоятка;6990.35;"0 шт"
VZACC-C-300-10-PN16-H2-V3-E;EPDM;Межфланцевый;300;10;16;"Чугун GG25";"Нержавеющая сталь CF8";"Голый вал";52460.02;"0 шт"
VZACC-C-125-10-PN16-H2-V3-E;EPDM;Межфланцевый;125;10;16;"Чугун GG25";"Нержавеющая сталь CF8";"Голый вал";9171.60;"0 шт"
VZACC-C-250-16-PN16-H2-V3-E-GB;EPDM;Межфланцевый;250;16;16;"Чугун GG25";"Нержавеющая сталь CF8";Редуктор;42395.20;"0 шт"
VZACC-C-150-16-PN16-H2-V3-E-GB;EPDM;Межфланцевый;150;16;16;"Чугун GG25";"Нержавеющая сталь CF8";Редуктор;16725.07;"0 шт"
VZACC-C-125-16-PN16-H2-V3-E-GB;EPDM;Межфланцевый;125;16;16;"Чугун GG25";"Нержавеющая сталь CF8";Редуктор;13870.67;"0 шт"
VZACC-C-80-16-PN16-H2-V3-E-GB;EPDM;Межфланцевый;80;16;16;"Чугун GG25";"Нержавеющая сталь CF8";Редуктор;9171.60;"0 шт"
VZACC-C-65-16-PN16-H2-V3-E-GB;EPDM;Межфланцевый;65;16;16;"Чугун GG25";"Нержавеющая сталь CF8";Редуктор;8501.05;"0 шт"
VZACC-C-50-16-PN16-H2-V3-E-GB;EPDM;Межфланцевый;50;16;16;"Чугун GG25";"Нержавеющая сталь CF8";Редуктор;7829.20;"0 шт"
VZACC-C-300-16-PN16-H2-V3-E-HL;EPDM;Межфланцевый;300;16;16;"Чугун GG25";"Нержавеющая сталь CF8";Рукоятка;54362.95;"0 шт"
VZACC-C-200-16-PN16-H2-V3-E-HL;EPDM;Межфланцевый;200;16;16;"Чугун GG25";"Нержавеющая сталь CF8";Рукоятка;23320.60;"0 шт"
VZACC-C-150-16-PN16-H2-V3-E-HL;EPDM;Межфланцевый;150;16;16;"Чугун GG25";"Нержавеющая сталь CF8";Рукоятка;12919.21;"0 шт"
VZACS-C-300-16-PN16-H1-V3-E-GB;EPDM;Межфланцевый;300;16;16;"Чугун GGG25";"Нержавеющая сталь CF8";Редуктор;;"0 шт"
VZACS-C-65-16-PN16-H1-V9-E4-HL;"EPDM–HT (до 130°C)";Межфланцевый;65;16;16;"Чугун GGG25";"Нержавеющая сталь CF8M";Рукоятка;7438.25;"0 шт"
VZACS-C-40-16-PN16-H1-V9-E4-HL;"EPDM–HT (до 130°C)";Межфланцевый;40;16;16;"Чугун GGG25";"Нержавеющая сталь CF8M";Рукоятка;6488.08;"0 шт"
VZACS-C-300-16-PN16-H1-V9-E4-GB;"EPDM–HT (до 130°C)";Межфланцевый;300;16;16;"Чугун GGG25";"Нержавеющая сталь CF8M";Редуктор;94680.46;"0 шт"
VZACS-C-250-16-PN16-H1-V9-E4-GB;"EPDM–HT (до 130°C)";Межфланцевый;250;16;16;"Чугун GGG25";"Нержавеющая сталь CF8M";Редуктор;65994.12;"0 шт"
VZACS-C-200-16-PN16-H1-V9-E4-HL;"EPDM–HT (до 130°C)";Межфланцевый;200;16;16;"Чугун GGG25";"Нержавеющая сталь CF8M";Рукоятка;38142.74;"0 шт"
VZACC-C-100-16-PN16-H2-V9-N-HL;NBR;Межфланцевый;100;16;16;"Чугун GG25";"Нержавеющая сталь CF8M";Рукоятка;7493.92;"0 шт"
VZACC-C-65-16-PN16-H2-V9-N-HL;NBR;Межфланцевый;65;16;16;"Чугун GG25";"Нержавеющая сталь CF8M";Рукоятка;4697.78;"0 шт"
VZACS-C-200-16-PN16-H1-V9-E4;"EPDM–HT (до 130°C)";Межфланцевый;200;16;16;"Чугун GGG25";"Нержавеющая сталь CF8M";"Голый вал";27935.53;"0 шт"
VZACS-L-200-10-PN16-H2-V3-E;EPDM;"С резьбовыми проушинами";200;10;16;"Чугун GG25";"Нержавеющая сталь CF8";"Голый вал";21424.14;"0 шт"
VZACS-L-150-10-PN16-H2-V3-E-HL;EPDM;"С резьбовыми проушинами";150;10;16;"Чугун GG25";"Нержавеющая сталь CF8";Рукоятка;12919.21;"0 шт"
