headers;"Код заказа";Типоразмер;"Присоединительная резьба";Манометр;"Отвод конденсата";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Диапазон регулирования, МПа";"Тонкость фильтрации, мкм";"Положение монтажа";"Объём стакана фильтра, мл";"Монтажная скоба";"Материал корпуса";"Материал стакана";price;stock
EAW4000-06F25M;4000;G3/4;"Встроенный квадратный";Ручной;"Сжатый воздух";-5…+60;0.15…1;0.05…0.9;5;"Вертикально +/- 5°";75;"С монтажной скобой";Алюминий;Поликарбонат;4772.86;"2 шт"
headers;"Код заказа";Типоразмер;"Присоединительная резьба";Манометр;"Отвод конденсата";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Диапазон регулирования, МПа";"Тонкость фильтрации, мкм";"Положение монтажа";"Материал корпуса";"Материал стакана";price;stock
EFRH50-10;5000;G1;"С манометром";Ручной;"Сжатый воздух";-25…+80;0.15…3.5;0.15…3.5;40;"Вертикально +/- 5°";Алюминий;Алюминий;18498.55;"21 шт"
headers;"Код заказа";Типоразмер;"Присоединительная резьба";Манометр;"Отвод конденсата";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Диапазон регулирования, МПа";"Тонкость фильтрации, мкм";"Положение монтажа";"Объём стакана фильтра, мл";"Монтажная скоба";"Материал корпуса";"Материал стакана";price;stock
FEW-02MIDI;MIDI;G1/4;"С манометром";Ручной;"Сжатый воздух";-5…+60;0.1…1.6;0.05…1.2;40;"Вертикально +/- 5°";43;"С монтажной скобой";Алюминий;Поликарбонат;6815.60;"0 шт"
FEW-02MINIA;MINI;G1/4;"С манометром";Автоматический;"Сжатый воздух";-5…+60;0.2…1.2;0.05…1.2;40;"Вертикально +/- 5°";22;"С монтажной скобой";Алюминий;Поликарбонат;6249.89;"13 шт"
headers;"Код заказа";Типоразмер;"Присоединительная резьба";Манометр;"Отвод конденсата";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Диапазон регулирования, МПа";"Тонкость фильтрации, мкм";"Положение монтажа";"Материал корпуса";"Материал стакана";price;stock
EFRH40-04;4000;G1/2;"С манометром";Ручной;"Сжатый воздух";-25…+80;0.15…3.5;0.15…3.5;40;"Вертикально +/- 5°";Алюминий;Алюминий;11014.99;"9 шт"
headers;"Код заказа";Типоразмер;"Присоединительная резьба";Манометр;"Отвод конденсата";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Диапазон регулирования, МПа";"Тонкость фильтрации, мкм";"Положение монтажа";"Объём стакана фильтра, мл";"Монтажная скоба";"Материал корпуса";"Материал стакана";price;stock
FEW-06MAXIA;MAXI;G3/4;"С манометром";Автоматический;"Сжатый воздух";-5…+60;0.2…1.2;0.05…1.2;40;"Вертикально +/- 5°";80;"С монтажной скобой";Алюминий;Поликарбонат;12554.16;"1 шт"
