headers;"Код заказа";"Функция пневмоцилиндра";"Диаметр поршня, мм";"Рабочий ход, мм";"Опрос положения";"Тип направляющей";"Исполнение штока";Демпфирование;"Пневматическое присоединение";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Развиваемое усилие при выдвижении штока при 0,6 МПа, N";"Развиваемое усилие при втягивании штока при 0,6 МПа, N";"Материал направляющих";"Материал корпуса";"Материал штока";"Материал уплотнений";price;stock
ELS25x100-S-A;"Двустороннего действия";25;100;Да;"Направляющая скольжения";Траверса;"Демпферы с двух сторон";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";45243.12;"0 шт"
ELS25x75-S-A;"Двустороннего действия";25;75;Да;"Направляющая скольжения";Траверса;"Демпферы с двух сторон";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";40162.17;"0 шт"
ELS25x50-S-A;"Двустороннего действия";25;50;Да;"Направляющая скольжения";Траверса;"Демпферы с двух сторон";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";33501.92;"0 шт"
ELS25x40-S-A;"Двустороннего действия";25;40;Да;"Направляющая скольжения";Траверса;"Демпферы с двух сторон";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";32304.50;"0 шт"
ELS25x30-S-A;"Двустороннего действия";25;30;Да;"Направляющая скольжения";Траверса;"Демпферы с двух сторон";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";31081.19;"0 шт"
ELS25x20-S-A;"Двустороннего действия";25;20;Да;"Направляющая скольжения";Траверса;"Демпферы с двух сторон";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";30058.52;"0 шт"
ELS25x10-S-A;"Двустороннего действия";25;10;Да;"Направляющая скольжения";Траверса;"Демпферы с двух сторон";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";29061.75;"0 шт"
ELS20x125-S-A;"Двустороннего действия";20;125;Да;"Направляющая скольжения";Траверса;"Демпферы с двух сторон";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;377;317;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";46110.45;"0 шт"
ELS20x100-S-A;"Двустороннего действия";20;100;Да;"Направляющая скольжения";Траверса;"Демпферы с двух сторон";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;377;317;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";41786.78;"0 шт"
ELS20x75-S-A;"Двустороннего действия";20;75;Да;"Направляющая скольжения";Траверса;"Демпферы с двух сторон";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;377;317;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";37463.12;"0 шт"
