headers;"Код заказа";"Соответствует стандарту";Функция;"Диаметр поршня, мм";"Рабочий ход, мм";"Опрос положения";"Исполнение штока";"Резьба на штоке";Демпфирование;"Пневматическое присоединение";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Развиваемое усилие при выдвижении штока при 0,6 МПа, N";"Развиваемое усилие при втягивании штока при 0,6 МПа, N";"Материал крышек";"Материал корпуса";"Материал штока";"Материал уплотнений";price;stock
IAC16x50-S;"ISO 6432";"Двустороннего действия";16;50;Да;"Наружная резьба";М6;"Регулируемое пневматическое";М5х0,8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";121;104;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2526.88;"209 шт"
IAC16x25-S;"ISO 6432";"Двустороннего действия";16;25;Да;"Наружная резьба";М6;"Регулируемое пневматическое";М5х0,8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";121;104;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2414.26;"124 шт"
IA25x50-S;"ISO 6432";"Двустороннего действия";25;50;Да;"Наружная резьба";М10х1,25;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";294;247;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2173.48;"102 шт"
IA16x100-S;"ISO 6432";"Двустороннего действия";16;100;Да;"Наружная резьба";М6;"Упругие демпфирующие кольца";М5;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 0,8";"-20 … +80";121;104;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2124.29;"23 шт"
IA12x25-S;"ISO 6432";"Двустороннего действия";12;25;Да;"Наружная резьба";М6;"Упругие демпфирующие кольца";М5;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 0,8";"-20 … +80";67.8;50.9;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;1838.20;"58 шт"
IA25x70-S;"ISO 6432";"Двустороннего действия";25;70;Да;"Наружная резьба";М10х1,25;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";294;247;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2330.12;"28 шт"
IA12x15-S;"ISO 6432";"Двустороннего действия";12;15;Да;"Наружная резьба";М6;"Упругие демпфирующие кольца";М5;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 0,8";"-20 … +80";67.8;50.9;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;1838.20;"10 шт"
IAC20x70-S;"ISO 6432";"Двустороннего действия";20;70;Да;"Наружная резьба";М8;"Регулируемое пневматическое";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";188;158;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2829.80;"10 шт"
IA16x160-S;"ISO 6432";"Двустороннего действия";16;160;Да;"Наружная резьба";М6;"Упругие демпфирующие кольца";М5;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 0,8";"-20 … +80";121;104;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2459.57;"9 шт"
IA10x10-S;"ISO 6432";"Двустороннего действия";10;10;Да;"Наружная резьба";М4;"Упругие демпфирующие кольца";М5;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 0,8";"-20 … +80";47.1;39.5;Алюминий;"Нержавеющая сталь";"Нержавеющая сталь SS304";NBR;1367;"30 шт"
