headers;"Код заказа";Присоединение;Конструкция;Функция;"Условный проход, мм";Cv;"Тип катушки";Напряжение;"Мощность катушки";"Степень защиты";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Материал корпуса";"Материал мембраны";price;stock
ELP15E1V;G1/2;"Мембранный клапан";"Нормально закрытый";15;5.5;Стандартная;"110 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0,5...1,6;-20...+80;Латунь;FPM;5206.52;"0 шт"
ELP15E1E;G1/2;"Мембранный клапан";"Нормально закрытый";15;5.5;Стандартная;"110 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0,5...1,6;-20...+80;Латунь;EPDM;4945.03;"0 шт"
ELP15E1;G1/2;"Мембранный клапан";"Нормально закрытый";15;5.5;Стандартная;"110 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0,5...1,6;-20...+80;Латунь;NBR;4945.03;"0 шт"
ELP10-150E1V;G3/8;"Мембранный клапан";"Нормально закрытый";15;5;Стандартная;"110 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0,5...1,6;-20...+80;Латунь;FPM;5222.05;"0 шт"
ELP10-150E1E;G3/8;"Мембранный клапан";"Нормально закрытый";15;5;Стандартная;"110 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0,5...1,6;-20...+80;Латунь;EPDM;4945.03;"0 шт"
ELP10-150E1;G3/8;"Мембранный клапан";"Нормально закрытый";15;5;Стандартная;"110 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0,5...1,6;-20...+80;Латунь;NBR;4945.03;"0 шт"
ELP08-040E1;G1/4;"Мембранный клапан";"Нормально закрытый";4;0.55;Стандартная;"110 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0...0,8;-20...+80;Латунь;FPM;2860.87;"0 шт"
ELP06-040E1;G1/8;"Мембранный клапан";"Нормально закрытый";4;0.55;Стандартная;"110 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0...0,8;-20...+80;Латунь;FPM;2860.87;"0 шт"
ELP08-030E1;G1/4;"Мембранный клапан";"Нормально закрытый";3;0.33;Стандартная;"110 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0...1,3;-20...+80;Латунь;FPM;2860.87;"0 шт"
ELP06-030E1;G1/8;"Мембранный клапан";"Нормально закрытый";3;0.33;Стандартная;"110 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0...1,3;-20...+80;Латунь;FPM;2860.87;"0 шт"
