headers;"Код заказа";"Функция распределителя";"Тип управления";"Тип возврата";"Присоединительная резьба, канал 1";"Присоединительная резьба, канал 2";"Присоединительная резьба, канал 4";"Присоединительная резьба, канал 3";"Присоединительная резьба, канал 5";"Присоединительная резьба, канал управления";"Стандартный номинальный расход, л/мин";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Максимальная частота, Гц";"Масса, г";"Материал корпуса";"Материал уплотнений";price;stock
RVA3231-10Q;"3/2 Н.З. моностабильный";Пневматическое;"Пневматическая пружина";G3/8;G3/8;-;G3/8;-;G1/8;1650;0,15...0,8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;5;218;Алюминий;HNBR;1823.96;"0 шт"
RVA3221-08Q;"3/2 Н.З. моностабильный";Пневматическое;"Пневматическая пружина";G1/4;G1/4;-;G1/4;-;G1/8;950;0,15...0,8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;5;128;Алюминий;HNBR;1483.51;"0 шт"
RVA5342E-15;"5/3 центральная позиция на выхлоп";Пневматическое;"Механическая пружина";G1/2;G1/2;G1/2;G1/2;G1/2;G1/8;1640;0,15...0,8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;3;598;Алюминий;HNBR;5229.82;"0 шт"
RVA5332E-10;"5/3 центральная позиция на выхлоп";Пневматическое;"Механическая пружина";G3/8;G3/8;G3/8;G1/4;G1/4;G1/8;980;0,15...0,8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;3;358;Алюминий;HNBR;4080.30;"0 шт"
RVA5312E-06;"5/3 центральная позиция на выхлоп";Пневматическое;"Механическая пружина";G1/8;G1/8;G1/8;G1/8;G1/8;G1/8;490;0,15...0,8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;3;181;Алюминий;HNBR;3755.37;"0 шт"
RVA5342P-15;"5/3 центральная позиция под давлением";Пневматическое;"Механическая пружина";G1/2;G1/2;G1/2;G1/2;G1/2;G1/8;1640;0,15...0,8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;3;598;Алюминий;HNBR;5229.82;"0 шт"
RVA5332P-10;"5/3 центральная позиция под давлением";Пневматическое;"Механическая пружина";G3/8;G3/8;G3/8;G1/4;G1/4;G1/8;980;0,15...0,8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;3;358;Алюминий;HNBR;4080.30;"0 шт"
RVA5322P-08;"5/3 центральная позиция под давлением";Пневматическое;"Механическая пружина";G1/4;G1/4;G1/4;G1/8;G1/8;G1/8;660;0,15...0,8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;3;219;Алюминий;HNBR;3137.89;"0 шт"
RVA5312P-06;"5/3 центральная позиция под давлением";Пневматическое;"Механическая пружина";G1/8;G1/8;G1/8;G1/8;G1/8;G1/8;490;0,15...0,8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;3;181;Алюминий;HNBR;3755.37;"0 шт"
RVA5332C-10;"5/3 центральная позиция закрытая";Пневматическое;"Механическая пружина";G3/8;G3/8;G3/8;G1/4;G1/4;G1/8;980;0,15...0,8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;3;358;Алюминий;HNBR;4080.30;"0 шт"
RVA5322C-08;"5/3 центральная позиция закрытая";Пневматическое;"Механическая пружина";G1/4;G1/4;G1/4;G1/8;G1/8;G1/8;660;0,15...0,8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;3;219;Алюминий;HNBR;3137.89;"0 шт"
RVA5312C-06;"5/3 центральная позиция закрытая";Пневматическое;"Механическая пружина";G1/8;G1/8;G1/8;G1/8;G1/8;G1/8;490;0,15...0,8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;3;181;Алюминий;HNBR;3755.37;"0 шт"
RVA5242-15;"5/2 бистабильный";Пневматическое;Нет;G1/2;G1/2;G1/2;G1/2;G1/2;G1/8;2750;0,15...0,8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;5;490;Алюминий;HNBR;3988.39;"0 шт"
RVA5322C-06;"5/3 центральная позиция закрытая";Пневматическое;"Механическая пружина";G1/8;G1/8;G1/8;G1/8;G1/8;G1/8;660;0,15...0,8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;3;219;Алюминий;HNBR;3136.60;"0 шт"
RVA5342C-10;"5/3 центральная позиция закрытая";Пневматическое;"Механическая пружина";G3/8;G3/8;G3/8;G3/8;G3/8;G1/8;1640;0,15...0,8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;3;598;Алюминий;HNBR;5231.11;"0 шт"
