headers;"Код заказа";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";"Материал уплотнений";"Диаметр поршня, мм";"Рабочий ход, мм";"Опрос положения";Демпфирование;"Пневматическое присоединение";"Развиваемое усилие при выдвижении штока при 0,6 МПа, N";"Развиваемое усилие при втягивании штока при 0,6 МПа, N";"Материал крышек";Функция;"Исполнение штока";"Резьба на штоке";"Материал штока";price;stock
RA32x100-S;0.1...1.0;"Сжатый воздух (степень фильтрации 40 мкм)";"-20...+70°С (без замерзания)";"Нержавеющая сталь";NBR;32;100;Да;"Упругие демпфирующие кольца";G1/8;482.5;415;"Алюминиевый сплав";"Двустороннего действия";"Наружная резьба";М10х1.25;"Сталь S45c с твёрдым хромированием";3711.36;"0 шт"
RA32x50-S;0.1...1.0;"Сжатый воздух (степень фильтрации 40 мкм)";"-20...+70°С (без замерзания)";"Нержавеющая сталь";NBR;32;50;Да;"Упругие демпфирующие кольца";G1/8;482.5;415;"Алюминиевый сплав";"Двустороннего действия";"Наружная резьба";М10х1.25;"Сталь S45c с твёрдым хромированием";3241.45;"0 шт"
RA32x25-S;0.1...1.0;"Сжатый воздух (степень фильтрации 40 мкм)";"-20...+70°С (без замерзания)";"Нержавеющая сталь";NBR;32;25;Да;"Упругие демпфирующие кольца";G1/8;482.5;415;"Алюминиевый сплав";"Двустороннего действия";"Наружная резьба";М10х1.25;"Сталь S45c с твёрдым хромированием";3007.15;"0 шт"
RAC32x300-S;0.1...1.0;"Сжатый воздух (степень фильтрации 40 мкм)";"-20...+70°С (без замерзания)";"Нержавеющая сталь";NBR;32;300;Да;"Регулируемое пневматическое";G1/8;482.5;415;"Алюминиевый сплав";"Двустороннего действия";"Наружная резьба";М10х1.25;"Сталь S45c с твёрдым хромированием";7205.24;"0 шт"
RAC32x250-S;0.1...1.0;"Сжатый воздух (степень фильтрации 40 мкм)";"-20...+70°С (без замерзания)";"Нержавеющая сталь";NBR;32;250;Да;"Регулируемое пневматическое";G1/8;482.5;415;"Алюминиевый сплав";"Двустороннего действия";"Наружная резьба";М10х1.25;"Сталь S45c с твёрдым хромированием";6595.53;"0 шт"
RAC32x200-S;0.1...1.0;"Сжатый воздух (степень фильтрации 40 мкм)";"-20...+70°С (без замерзания)";"Нержавеющая сталь";NBR;32;200;Да;"Регулируемое пневматическое";G1/8;482.5;415;"Алюминиевый сплав";"Двустороннего действия";"Наружная резьба";М10х1.25;"Сталь S45c с твёрдым хромированием";6015.59;"0 шт"
RAC32x160-S;0.1...1.0;"Сжатый воздух (степень фильтрации 40 мкм)";"-20...+70°С (без замерзания)";"Нержавеющая сталь";NBR;32;160;Да;"Регулируемое пневматическое";G1/8;482.5;415;"Алюминиевый сплав";"Двустороннего действия";"Наружная резьба";М10х1.25;"Сталь S45c с твёрдым хромированием";5554.74;"0 шт"
RAC32x150-S;0.1...1.0;"Сжатый воздух (степень фильтрации 40 мкм)";"-20...+70°С (без замерзания)";"Нержавеющая сталь";NBR;32;150;Да;"Регулируемое пневматическое";G1/8;482.5;415;"Алюминиевый сплав";"Двустороннего действия";"Наружная резьба";М10х1.25;"Сталь S45c с твёрдым хромированием";5433.06;"0 шт"
RAC32x125-S;0.1...1.0;"Сжатый воздух (степень фильтрации 40 мкм)";"-20...+70°С (без замерзания)";"Нержавеющая сталь";NBR;32;125;Да;"Регулируемое пневматическое";G1/8;482.5;415;"Алюминиевый сплав";"Двустороннего действия";"Наружная резьба";М10х1.25;"Сталь S45c с твёрдым хромированием";5126.26;"0 шт"
RAC32x100-S;0.1...1.0;"Сжатый воздух (степень фильтрации 40 мкм)";"-20...+70°С (без замерзания)";"Нержавеющая сталь";NBR;32;100;Да;"Регулируемое пневматическое";G1/8;482.5;415;"Алюминиевый сплав";"Двустороннего действия";"Наружная резьба";М10х1.25;"Сталь S45c с твёрдым хромированием";4823.34;"0 шт"
RAC32x80-S;0.1...1.0;"Сжатый воздух (степень фильтрации 40 мкм)";"-20...+70°С (без замерзания)";"Нержавеющая сталь";NBR;32;80;Да;"Регулируемое пневматическое";G1/8;482.5;415;"Алюминиевый сплав";"Двустороннего действия";"Наружная резьба";М10х1.25;"Сталь S45c с твёрдым хромированием";4683.54;"0 шт"
RAC32x50-S;0.1...1.0;"Сжатый воздух (степень фильтрации 40 мкм)";"-20...+70°С (без замерзания)";"Нержавеющая сталь";NBR;32;50;Да;"Регулируемое пневматическое";G1/8;482.5;415;"Алюминиевый сплав";"Двустороннего действия";"Наружная резьба";М10х1.25;"Сталь S45c с твёрдым хромированием";4213.63;"0 шт"
