headers;"Код заказа";Типоразмер;"Присоединительная резьба";"Отвод конденсата";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Положение монтажа";"Материал корпуса";"Материал стакана";price;stock
headers;"Код заказа";Типоразмер;"Присоединительная резьба";"Отвод конденсата";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Тонкость фильтрации, мкм";"Положение монтажа";"Материал корпуса";"Материал стакана";price;stock
ELH40-04;4000;G1/2;Ручной;"Сжатый воздух";-25…+80;0.15…3.5;40;"Вертикально +/- 5°";Алюминий;Алюминий;4466.06;"2 шт"
headers;"Код заказа";Типоразмер;"Присоединительная резьба";"Отвод конденсата";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Тонкость фильтрации, мкм";"Положение монтажа";"Объём стакана фильтра, мл";"Монтажная скоба";"Материал корпуса";"Материал стакана";price;stock
FEF-10MAXIA;MAXI;G1;Автоматический;"Сжатый воздух";-5…+60;0.1…1.6;40;"Вертикально +/- 5°";80;"С монтажной скобой";Алюминий;Поликарбонат;9326.94;"3 шт"
FEF-045MMIDI;MIDI;G1/2;Ручной;"Сжатый воздух";-5…+60;0.1…1.6;5;"Вертикально +/- 5°";43;"С монтажной скобой";Алюминий;Поликарбонат;4115.25;"10 шт"
EAFD3000-03;3000;G3/8;Ручной;"Сжатый воздух";-5…+60;0.15…1;0.01;"Вертикально +/- 5°";40;"С монтажной скобой";Алюминий;Поликарбонат;5175.45;"11 шт"
EAF3000-035M;3000;G3/8;Ручной;"Сжатый воздух";-5…+60;0.15…1;5;"Вертикально +/- 5°";40;"Без монтажной скобы";Алюминий;Поликарбонат;1811.02;"19 шт"
EAF3000-04J;3000;G1/2;Ручной;"Сжатый воздух";-5…+60;0.15…1;40;"Вертикально +/- 5°";40;"Без монтажной скобы";Алюминий;Поликарбонат;1811.02;"1 шт"
headers;"Код заказа";Типоразмер;"Присоединительная резьба";"Отвод конденсата";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Положение монтажа";"Материал корпуса";"Материал стакана";price;stock
EAF3000-CF-04-CV7109573;3000;G1/2;Ручной;"Сжатый воздух";-10…+60;0…1.6;"Вертикально +/- 5°";Алюминий;Полимер;10704;"0 шт"
EAF3000-CF-03-CV7109572;3000;G3/8;Ручной;"Сжатый воздух";-10…+60;0…1.6;"Вертикально +/- 5°";Алюминий;Полимер;10704;"0 шт"
headers;"Код заказа";Типоразмер;"Присоединительная резьба";"Отвод конденсата";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Тонкость фильтрации, мкм";"Положение монтажа";"Монтажная скоба";"Материал корпуса";price;stock
LFUB520-06;5;G3/4;"Отверстие с внутренней резьбой";"Сжатый воздух";+5…+60;0…1.6;1;"Вертикально +/- 5°";"С монтажной скобой";Полипропилен;6960.58;"0 шт"
LFUB520-04;5;G1/2;"Отверстие с внутренней резьбой";"Сжатый воздух";+5…+60;0…1.6;1;"Вертикально +/- 5°";"С монтажной скобой";Полипропилен;6960.58;"0 шт"
LFUB320-03;3;G3/8;"Отверстие с внутренней резьбой";"Сжатый воздух";+5…+60;0…1.6;1;"Вертикально +/- 5°";"С монтажной скобой";Полипропилен;5968.99;"0 шт"
LFUB320-02;3;G1/4;"Отверстие с внутренней резьбой";"Сжатый воздух";+5…+60;0…1.6;1;"Вертикально +/- 5°";"С монтажной скобой";Полипропилен;5968.99;"0 шт"
