headers;"Код заказа";"Исполнение прибора";"Выходной сигнал";"Расход, л/мин";"Тип резьбы";"Электрическое подключение";"Дополнительный температурный сенсор";price;stock
SMT-FTM520-400A-GK-M-T-PA1;FTM520;"1xPNP+аналоговый (4-20мА)";150-400;"Резьба G";"разъем М8 4pin с кабелем 2м";"С сенсором";55864.58;"0 шт"
SMT-FTM100-DN50-R-304-T-DC-RS;FTM-100;FTM-100;DN50;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"24 В пост. тока";"24 В пост. тока";"4-20мА, pulse, RS485";"4-20мА, pulse, RS485";243031.31;"0 шт"
SMT-FTM100-DN50-R-304-T-DC-HT;FTM-100;FTM-100;DN50;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"24 В пост. тока";"24 В пост. тока";"4-20мА, pulse, HART";"4-20мА, pulse, HART";247691.54;"0 шт"
SMT-FTM100-DN40-R-304-T-AC-RS;FTM-100;FTM-100;DN40;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"220 В перем. тока";"220 В перем. тока";"4-20мА, pulse, RS485";"4-20мА, pulse, RS485";238371.07;"0 шт"
SMT-FTM100-DN40-R-304-T-AC-HT;FTM-100;FTM-100;DN40;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"220 В перем. тока";"220 В перем. тока";"4-20мА, pulse, HART";"4-20мА, pulse, HART";243031.31;"0 шт"
SMT-FTM100-DN40-R-304-T-DC-RS;FTM-100;FTM-100;DN40;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"24 В пост. тока";"24 В пост. тока";"4-20мА, pulse, RS485";"4-20мА, pulse, RS485";238371.07;"0 шт"
SMT-FTM100-DN40-R-304-T-DC-HT;FTM-100;FTM-100;DN40;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"24 В пост. тока";"24 В пост. тока";"4-20мА, pulse, HART";"4-20мА, pulse, HART";243031.31;"0 шт"
SMT-FTM100-DN32-R-304-T-AC-RS;FTM-100;FTM-100;DN32;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"220 В перем. тока";"220 В перем. тока";"4-20мА, pulse, RS485";"4-20мА, pulse, RS485";233710.84;"0 шт"
SMT-FTM100-DN32-R-304-T-AC-HT;FTM-100;FTM-100;DN32;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"220 В перем. тока";"220 В перем. тока";"4-20мА, pulse, HART";"4-20мА, pulse, HART";238371.07;"0 шт"
SMT-FTM100-DN32-R-304-T-DC-RS;FTM-100;FTM-100;DN32;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"24 В пост. тока";"24 В пост. тока";"4-20мА, pulse, RS485";"4-20мА, pulse, RS485";233710.84;"0 шт"
SMT-FTM100-DN32-R-304-T-DC-HT;FTM-100;FTM-100;DN32;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"24 В пост. тока";"24 В пост. тока";"4-20мА, pulse, HART";"4-20мА, pulse, HART";238371.07;"0 шт"
SMT-FTM100-DN25-R-304-T-AC-RS;FTM-100;FTM-100;DN25;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"220 В перем. тока";"220 В перем. тока";"4-20мА, pulse, RS485";"4-20мА, pulse, RS485";229050.60;"0 шт"
SMT-FTM100-DN25-R-304-T-AC-HT;FTM-100;FTM-100;DN25;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"220 В перем. тока";"220 В перем. тока";"4-20мА, pulse, HART";"4-20мА, pulse, HART";233710.84;"0 шт"
SMT-FTM100-DN25-R-304-T-DC-RS;FTM-100;FTM-100;DN25;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"24 В пост. тока";"24 В пост. тока";"4-20мА, pulse, RS485";"4-20мА, pulse, RS485";229050.60;"0 шт"
SMT-FTM100-DN25-R-304-T-DC-HT;FTM-100;FTM-100;DN25;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"24 В пост. тока";"24 В пост. тока";"4-20мА, pulse, HART";"4-20мА, pulse, HART";233710.84;"0 шт"
SMT-FTM100-DN15-R-304-T-AC-RS;FTM-100;FTM-100;DN15;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"220 В перем. тока";"220 В перем. тока";"4-20мА, pulse, RS485";"4-20мА, pulse, RS485";224390.36;"0 шт"
SMT-FTM100-DN15-R-304-T-AC-HT;FTM-100;FTM-100;DN15;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"220 В перем. тока";"220 В перем. тока";"4-20мА, pulse, HART";"4-20мА, pulse, HART";229050.60;"0 шт"
SMT-FTM100-DN15-R-304-T-DC-RS;FTM-100;FTM-100;DN15;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"24 В пост. тока";"24 В пост. тока";"4-20мА, pulse, RS485";"4-20мА, pulse, RS485";224390.36;"0 шт"
SMT-FTM100-DN15-R-304-T-DC-HT;FTM-100;FTM-100;DN15;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"24 В пост. тока";"24 В пост. тока";"4-20мА, pulse, HART";"4-20мА, pulse, HART";229050.60;"0 шт"
SMT-FTM100-DN10-R-304-T-AC-RS;FTM-100;FTM-100;DN10;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"220 В перем. тока";"220 В перем. тока";"4-20мА, pulse, RS485";"4-20мА, pulse, RS485";215069.89;"0 шт"
