headers;"Код заказа";Типоразмер;"Класс точности";"Тела качения";"Крепление направляющей";"Масса одного метра, кг/м";Материал;price;stock
RH65HAZBP;65;"P - Высокий";"H - Квадратная";"A - Сверху";Да;"ZB - Высокий";"Торц. и ниж. уплотнения";275.3;572.7;22.55;22.17;22.17;12.13;"Углеродистая сталь";47346.70;"0 шт"
RH65HAZBH;65;"H - Повышенный";"H - Квадратная";"A - Сверху";Да;"ZB - Высокий";"Торц. и ниж. уплотнения";275.3;572.7;22.55;22.17;22.17;12.13;"Углеродистая сталь";43042.46;"0 шт"
RH65HAZAP;65;"P - Высокий";"H - Квадратная";"A - Сверху";Да;"ZA - Средний";"Торц. и ниж. уплотнения";275.3;572.7;22.55;22.17;22.17;12.13;"Углеродистая сталь";47346.70;"0 шт"
RH65HAZAH;65;"H - Повышенный";"H - Квадратная";"A - Сверху";Да;"ZA - Средний";"Торц. и ниж. уплотнения";275.3;572.7;22.55;22.17;22.17;12.13;"Углеродистая сталь";43042.46;"0 шт"
RH65HAZ0P;65;"P - Высокий";"H - Квадратная";"A - Сверху";Да;"Z0 - Легкий";"Торц. и ниж. уплотнения";275.3;572.7;22.55;22.17;22.17;12.13;"Углеродистая сталь";47346.70;"0 шт"
RH65HAZ0H;65;"H - Повышенный";"H - Квадратная";"A - Сверху";Да;"Z0 - Легкий";"Торц. и ниж. уплотнения";275.3;572.7;22.55;22.17;22.17;12.13;"Углеродистая сталь";43042.46;"0 шт"
RH55HAZBP;55;"P - Высокий";"H - Квадратная";"A - Сверху";Да;"ZB - Высокий";"Торц. и ниж. уплотнения";196.95;369.8;11.25;10.4;10.4;6.72;"Углеродистая сталь";31249.47;"0 шт"
RH55HAZBH;55;"H - Повышенный";"H - Квадратная";"A - Сверху";Да;"ZB - Высокий";"Торц. и ниж. уплотнения";196.95;369.8;11.25;10.4;10.4;6.72;"Углеродистая сталь";28408.02;"0 шт"
RH55HAZAP;55;"P - Высокий";"H - Квадратная";"A - Сверху";Да;"ZA - Средний";"Торц. и ниж. уплотнения";196.95;369.8;11.25;10.4;10.4;6.72;"Углеродистая сталь";31249.47;"0 шт"
RH55HAZAH;55;"H - Повышенный";"H - Квадратная";"A - Сверху";Да;"ZA - Средний";"Торц. и ниж. уплотнения";196.95;369.8;11.25;10.4;10.4;6.72;"Углеродистая сталь";28408.02;"0 шт"
RH55HAZ0P;55;"P - Высокий";"H - Квадратная";"A - Сверху";Да;"Z0 - Легкий";"Торц. и ниж. уплотнения";196.95;369.8;11.25;10.4;10.4;6.72;"Углеродистая сталь";31249.47;"0 шт"
RH55HAZ0H;55;"H - Повышенный";"H - Квадратная";"A - Сверху";Да;"Z0 - Легкий";"Торц. и ниж. уплотнения";196.95;369.8;11.25;10.4;10.4;6.72;"Углеродистая сталь";28408.02;"0 шт"
RH45HAZBP;45;"P - Высокий";"H - Квадратная";"A - Сверху";Да;"ZB - Высокий";"Торц. и ниж. уплотнения";120.6;240.89;6.55;5.8;5.8;4.19;"Углеродистая сталь";18297.90;"0 шт"
RH45HAZBH;45;"H - Повышенный";"H - Квадратная";"A - Сверху";Да;"ZB - Высокий";"Торц. и ниж. уплотнения";120.6;240.89;6.55;5.8;5.8;4.19;"Углеродистая сталь";16634.45;"0 шт"
