headers;"Код заказа";"Соответствует стандарту";Функция;"Диаметр поршня, мм";"Рабочий ход, мм";"Опрос положения";"Исполнение штока";"Резьба на штоке";Демпфирование;"Пневматическое присоединение";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Развиваемое усилие при выдвижении штока при 0,6 МПа, N";"Развиваемое усилие при втягивании штока при 0,6 МПа, N";"Материал крышек";"Материал корпуса";"Материал штока";"Материал уплотнений";price;stock
FVBC80x25-S;"ISO 15552";"Двустороннего действия";80;25;Да;"Наружная резьба";М20х1.5;"Регулируемое пневматическое";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;3014;2720;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;7187.12;"80 шт"
FVBC63x500-S;"ISO 15552";"Двустороннего действия";63;500;Да;"Наружная резьба";М16х1.5;"Регулируемое пневматическое";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;1869;1681;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;9714;"35 шт"
FVBC63x400-S;"ISO 15552";"Двустороннего действия";63;400;Да;"Наружная резьба";М16х1.5;"Регулируемое пневматическое";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;1869;1681;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;8643.44;"50 шт"
FVBC63x250-S;"ISO 15552";"Двустороннего действия";63;250;Да;"Наружная резьба";М16х1.5;"Регулируемое пневматическое";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;1869;1681;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;8055.74;"63 шт"
FVBC63x125-S;"ISO 15552";"Двустороннего действия";63;125;Да;"Наружная резьба";М16х1.5;"Регулируемое пневматическое";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;1869;1681;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;6534.69;"65 шт"
FVBC63x100-S;"ISO 15552";"Двустороннего действия";63;100;Да;"Наружная резьба";М16х1.5;"Регулируемое пневматическое";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;1869;1681;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;6238.24;"79 шт"
FVBC63x50-S;"ISO 15552";"Двустороннего действия";63;50;Да;"Наружная резьба";М16х1.5;"Регулируемое пневматическое";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;1869;1681;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;5624.65;"56 шт"
FVBC63x25-S;"ISO 15552";"Двустороннего действия";63;25;Да;"Наружная резьба";М16х1.5;"Регулируемое пневматическое";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;1869;1681;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;5307.49;"93 шт"
FVBC50x500-S;"ISO 15552";"Двустороннего действия";50;500;Да;"Наружная резьба";М16х1.5;"Регулируемое пневматическое";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;1178;989;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;8015.61;"12 шт"
FVBC50x400-S;"ISO 15552";"Двустороннего действия";50;400;Да;"Наружная резьба";М16х1.5;"Регулируемое пневматическое";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;1178;989;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;7163.82;"16 шт"
FVBC50x300-S;"ISO 15552";"Двустороннего действия";50;300;Да;"Наружная резьба";М16х1.5;"Регулируемое пневматическое";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;1178;989;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;7215.60;"7 шт"
FVBC50x250-S;"ISO 15552";"Двустороннего действия";50;250;Да;"Наружная резьба";М16х1.5;"Регулируемое пневматическое";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;1178;989;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;6728.86;"31 шт"
FVBC50x200-S;"ISO 15552";"Двустороннего действия";50;200;Да;"Наружная резьба";М16х1.5;"Регулируемое пневматическое";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;1178;989;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;6243.42;"65 шт"
FVBC50x150-S;"ISO 15552";"Двустороннего действия";50;150;Да;"Наружная резьба";М16х1.5;"Регулируемое пневматическое";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;1178;989;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;5756.69;"3 шт"
FVBC50x125-S;"ISO 15552";"Двустороннего действия";50;125;Да;"Наружная резьба";М16х1.5;"Регулируемое пневматическое";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;1178;989;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;5504.26;"37 шт"
FVBC50x100-S;"ISO 15552";"Двустороннего действия";50;100;Да;"Наружная резьба";М16х1.5;"Регулируемое пневматическое";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;1178;989;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;5272.54;"43 шт"
FVBC50x50-S;"ISO 15552";"Двустороннего действия";50;50;Да;"Наружная резьба";М16х1.5;"Регулируемое пневматическое";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;1178;989;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;4784.51;"26 шт"
FVBC40x500-S;"ISO 15552";"Двустороннего действия";40;500;Да;"Наружная резьба";М12х1.25;"Регулируемое пневматическое";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;754;633;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;6557.99;"7 шт"
FVBC40x300-S;"ISO 15552";"Двустороннего действия";40;300;Да;"Наружная резьба";М12х1.25;"Регулируемое пневматическое";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;754;633;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;5888.73;"0 шт"
FVBC40x250-S;"ISO 15552";"Двустороннего действия";40;250;Да;"Наружная резьба";М12х1.25;"Регулируемое пневматическое";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;754;633;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;5486.13;"12 шт"
FVBC40x150-S;"ISO 15552";"Двустороннего действия";40;150;Да;"Наружная резьба";М12х1.25;"Регулируемое пневматическое";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;754;633;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;4684.83;"16 шт"
FVBC40x125-S;"ISO 15552";"Двустороннего действия";40;125;Да;"Наружная резьба";М12х1.25;"Регулируемое пневматическое";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;754;633;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;4494.54;"68 шт"
FVBC40x100-S;"ISO 15552";"Двустороннего действия";40;100;Да;"Наружная резьба";М12х1.25;"Регулируемое пневматическое";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;754;633;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;4282.24;"46 шт"
FVBC40x50-S;"ISO 15552";"Двустороннего действия";40;50;Да;"Наружная резьба";М12х1.25;"Регулируемое пневматическое";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;754;633;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;3879.65;"13 шт"
FVBC32x350-S;"ISO 15552";"Двустороннего действия";32;350;Да;"Наружная резьба";М10х1.25;"Регулируемое пневматическое";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;482;414;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;4785.80;"9 шт"
FVBC32x300-S;"ISO 15552";"Двустороннего действия";32;300;Да;"Наружная резьба";М10х1.25;"Регулируемое пневматическое";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;482;414;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;4486.77;"24 шт"
FVBC32x250-S;"ISO 15552";"Двустороннего действия";32;250;Да;"Наружная резьба";М10х1.25;"Регулируемое пневматическое";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;482;414;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;4186.45;"24 шт"
FVBC32x200-S;"ISO 15552";"Двустороннего действия";32;200;Да;"Наружная резьба";М10х1.25;"Регулируемое пневматическое";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;482;414;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;3886.12;"24 шт"
FVBC80x320-S;"ISO 15552";"Двустороннего действия";80;320;Да;"Наружная резьба";М20х1.5;"Регулируемое пневматическое";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;3014;2720;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;12705.62;"31 шт"
FVBC100x160-S;"ISO 15552";"Двустороннего действия";100;160;Да;"Наружная резьба";М20х1.5;"Регулируемое пневматическое";G1/2;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;"4 710";"4 416";Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;12075.19;"40 шт"
FVBC40x80-S;"ISO 15552";"Двустороннего действия";40;80;Да;"Наружная резьба";М12х1.25;"Регулируемое пневматическое";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;754;633;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;4282.24;"7 шт"
FVBC63x70-S;"ISO 15552";"Двустороннего действия";63;70;Да;"Наружная резьба";М16х1.5;"Регулируемое пневматическое";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;1869;1681;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;5921.09;"0 шт"
FVBC32x100-S;"ISO 15552";"Двустороннего действия";32;100;Да;"Наружная резьба";М10х1.25;"Регулируемое пневматическое";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;482;414;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;3285.47;"59 шт"
FVBC32x400-S;"ISO 15552";"Двустороннего действия";32;400;Да;"Наружная резьба";М10х1.25;"Регулируемое пневматическое";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;482;414;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;5086.13;"8 шт"
FVBC40x40-S;"ISO 15552";"Двустороннего действия";40;40;Да;"Наружная резьба";М12х1.25;"Регулируемое пневматическое";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;754;633;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;3879.65;"43 шт"
FVBC63x60-S;"ISO 15552";"Двустороннего действия";63;60;Да;"Наружная резьба";М16х1.5;"Регулируемое пневматическое";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;1869;1681;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;5921.09;"11 шт"
headers;"Код заказа";Функция;"Диаметр поршня, мм";"Рабочий ход, мм";"Опрос положения";"Исполнение штока";"Резьба на штоке";Демпфирование;"Пневматическое присоединение";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Развиваемое усилие при выдвижении штока при 0,6 МПа, N";"Развиваемое усилие при втягивании штока при 0,6 МПа, N";"Материал крышек";"Материал корпуса";"Материал штока";"Материал уплотнений";price;stock
FVBCD-50-30-CV7106804;"Двустороннего действия";50;30;Нет;"Наружная резьба";М20х1;Нет;G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";"0.06 … 1.0";"-20 … +80";990;990;"Алюминиевый сплав";"Алюминиевый сплав";"Легированная сталь";"TPE-U(PU), NBR";15788.50;"2 шт"
headers;"Код заказа";"Соответствует стандарту";Функция;"Диаметр поршня, мм";"Рабочий ход, мм";"Опрос положения";"Исполнение штока";"Резьба на штоке";Демпфирование;"Пневматическое присоединение";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Развиваемое усилие при выдвижении штока при 0,6 МПа, N";"Развиваемое усилие при втягивании штока при 0,6 МПа, N";"Материал крышек";"Материал корпуса";"Материал штока";"Материал уплотнений";price;stock
FVBC50x40-S;"ISO 15552";"Двустороннего действия";50;40;Да;"Наружная резьба";М16х1.5;"Регулируемое пневматическое";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;1178;989;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;4784.51;"19 шт"
FVBC100x40-S;"ISO 15552";"Двустороннего действия";100;40;Да;"Наружная резьба";М20х1.5;"Регулируемое пневматическое";G1/2;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;"4 710";"4 416";Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;9350.25;"12 шт"
FVBC40x70-S;"ISO 15552";"Двустороннего действия";40;70;Да;"Наружная резьба";М12х1.25;"Регулируемое пневматическое";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;754;633;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;4091.95;"5 шт"
FVBC50x25-S;"ISO 15552";"Двустороннего действия";50;25;Да;"Наружная резьба";М16х1.5;"Регулируемое пневматическое";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;1178;989;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;4532.08;"3 шт"
FVBC40x450-S;"ISO 15552";"Двустороннего действия";40;450;Да;"Наружная резьба";М12х1.25;"Регулируемое пневматическое";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;754;633;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;6205.88;"3 шт"
FVBC40x400-S;"ISO 15552";"Двустороннего действия";40;400;Да;"Наружная резьба";М12х1.25;"Регулируемое пневматическое";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;754;633;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;5856.36;"31 шт"
