headers;"Код заказа";Функция;"Диаметр поршня, мм";"Рабочий ход, мм";"Защита от проворота";"Опрос положения";"Исполнение штока";Демпфирование;"Пневматическое присоединение";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Развиваемое усилие при выдвижении штока при 0,6 МПа, N";"Развиваемое усилие при втягивании штока при 0,6 МПа, N";"Материал крышек";"Материал корпуса";"Материал штока";"Материал уплотнений";price;stock
SFM32x60-S;"Двустороннего действия";32;60;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";483;415;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";5653.13;"0 шт"
SFM20x20-S;"Двустороннего действия";20;20;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";M5;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";188;141;Алюминий;Алюминий;"Нержавеющая сталь";"TPU, NBR";3975.44;"0 шт"
SQN80x35-S;"Двустороннего действия";80;35;да;"Внутренняя резьба";М16;"Упругие демпфирующие кольца";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";3016;2722;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";7579.36;"0 шт"
SQN80x30-S;"Двустороннего действия";80;30;да;"Внутренняя резьба";М16;"Упругие демпфирующие кольца";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";3016;2722;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";7383.89;"0 шт"
SQN80x25-S;"Двустороннего действия";80;25;да;"Внутренняя резьба";М16;"Упругие демпфирующие кольца";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";3016;2722;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";7184.53;"0 шт"
SQN80x20-S;"Двустороннего действия";80;20;да;"Внутренняя резьба";М16;"Упругие демпфирующие кольца";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";3016;2722;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";6987.76;"0 шт"
SQN80x15-S;"Двустороннего действия";80;15;да;"Внутренняя резьба";М16;"Упругие демпфирующие кольца";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";3016;2722;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";6788.41;"0 шт"
SQN80x10-S;"Двустороннего действия";80;10;да;"Внутренняя резьба";М16;"Упругие демпфирующие кольца";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";3016;2722;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";6591.64;"0 шт"
SQN80x5-S;"Двустороннего действия";80;5;да;"Внутренняя резьба";М16;"Упругие демпфирующие кольца";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";3016;2722;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";6393.58;"0 шт"
SQN63x100-S;"Двустороннего действия";63;100;да;"Внутренняя резьба";М10;"Упругие демпфирующие кольца";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";1870;1681;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";7534.05;"0 шт"
